layer,accuracy,energy_ratio,energy_pj
original,0.9903,0.737857,1689447000000.0
batchnorm2d_1,0.9583,0.7592188,1738351000000.0
batchnorm2d_4,0.956,0.79727834,1825505800000.0
batchnorm2d_8,0.9432,0.80474615,1842611600000.0
batchnorm2d_11,0.9456,0.81132287,1857662100000.0
batchnorm2d_15,0.9405,0.8152108,1866573300000.0
batchnorm2d_18,0.9407,0.81810063,1873193300000.0
batchnorm2d_21,0.941,0.8221966,1882578500000.0
batchnorm2d_25,0.9455,0.82515365,1889354000000.0
batchnorm2d_28,0.9419,0.8278281,1895480800000.0
batchnorm2d_31,0.9404,0.8302719,1901078500000.0
batchnorm2d_35,0.9652,0.8309685,1902673700000.0
batchnorm2d_38,0.9706,0.83177406,1904518400000.0
batchnorm2d_41,0.966,0.83278245,1906828500000.0
